Name,Year,Latitude,Longitude,Country
 Università degli Studi di Bologna,1088,44.4962318,11.354157,IT
 University of Oxford,1096,51.7548164,-1.2543668,GB
 Università degli Studi di Parma,1117,44.8007871,10.3259016,IT
 Università degli Studi di Modena e Reggio Emilia,1175,44.6451046,10.9279268,IT
 University of Cambridge,1209,52.2042666,0.1149085,GB
 Università degli Studi di Padova,1222,45.406766,11.8774462,IT
 Università degli Studi di Napoli Federico II,1224,40.845492,14.2578058,IT
 Université Toulouse - Jean Jaurès,1229,43.5794449,1.4031948,FR
 Università degli Studi di Siena,1240,43.3191797,11.3329627,IT
 Universidad de Valladolid,1241,41.6569271,-4.7140547,ES
 Universidad de Salamanca,1255,40.9613376,-5.6669251,ES
 Universidad de Murcia,1272,37.9875209,-1.1272728,ES
 Université de Montpellier,1289,43.6316206,3.8634485,FR
 Universidade de Coimbra,1290,40.2089072,-8.4241509,PT
 Università degli Studi di Macerata,1290,43.2991026,13.4498415,IT
 Universidad Complutense de Madrid,1293,40.4454368,-3.7299424,ES
 Universitat de Lleida,1300,41.6147654,0.6196167,ES
 Sapienza Università di Roma,1303,41.9037626,12.5144384,IT
 Université d'Avignon et des pays de Vaucluse,1303,43.9492289,4.8181272,FR
 Università degli Studi di Perugia,1308,43.1164268,12.3868984,IT
 Università degli Studi di Firenze,1321,43.7776426,11.259765,IT
 Université Grenoble Alpes,1339,45.1915639,5.7672336,FR
 Università di Pisa,1343,43.7167235,10.3988593,IT
 Univerzita Karlova,1348,50.0871106,14.4234889,CZ
 Università degli Studi di Pavia,1361,45.1867055,9.1568417,IT
 Uniwersytet Jagiellonski,1364,50.0609623,19.9341074,PL
 Universität Wien,1365,48.2131855,16.3600504,AT
 Universität Heidelberg,1386,49.4191402,8.6702492,DE
 Universität zu Köln,1388,50.9281625,6.9288193,DE
 Università degli Studi di Ferrara,1391,44.8334299,11.6262692,IT
 Sungkyunkwan University,1398,37.588227,126.993606,KR
 Universität Würzburg,1402,49.7881814,9.93526,DE
 Università degli Studi di Torino,1404,45.069428,7.6889006,IT
 Universität Leipzig,1409,51.3385738,12.3784615,DE
 University of St Andrews,1413,56.3417136,-2.7942674,GB
 Universität Rostock,1419,54.0755448,12.1035044,DE
 Université de Franche-Comté,1423,47.2405045,6.0226187,FR
 Katholieke Universiteit Leuven,1425,50.8779545,4.7002953,BE
 Université Catholique de Louvain,1425,50.6696875,4.6155909,BE
 Université de Poitiers,1431,46.5856981,0.3457981,FR
 Université de Caen Normandie,1432,49.192609,-0.3641243,FR
 Università degli Studi di Catania,1434,37.5035647,15.0864981,IT
 Université de Bordeaux,1441,44.8258602,-0.6058382,FR
 Universitat de Barcelona,1450,41.3866167,2.163948,ES
 University of Glasgow,1451,55.8721211,-4.2882005,GB
 Universität Greifswald,1456,54.0973744,13.3719707,DE
 Universität Freiburg,1457,47.9935441,7.8459496,DE
 Universität Basel,1460,47.5602535,7.5826,CH
 Université de Nantes,1460,47.2095499,-1.5559718,FR
 Université de Bretagne Occidentale,1461,48.3980356,-4.5076415,FR
 Universität München,1472,48.1504827,11.5802362,DE
 Universität Tübingen,1477,48.5294782,9.043774,DE
 Uppsala Universitet,1477,59.8509005,17.6300093,SE
 Københavns Universitet,1479,55.6802303,12.5724096,DK
 Università degli Studi di Genova,1481,44.4149029,8.926743,IT
 Universidad de Santiago de Compostela,1495,42.8885225,-8.5449726,ES
 University of Aberdeen,1495,57.16476,-2.1015257,GB
 Universidad de Alcalá,1499,40.4824722,-3.3628674,ES
 Universitat de València,1499,39.4793254,-0.3593863,ES
 Martin-Luther-Universität Halle-Wittenberg,1502,51.4861319,11.9695315,DE
 Universidad de Sevilla,1505,37.3807579,-5.9912307,ES
 Università degli Studi di Urbino Carlo Bo,1506,43.7243069,12.6367849,IT
 Philipps-Universität Marburg,1527,50.8106859,8.7741641,DE
 Universidad de Granada,1531,37.174679,-3.603065,ES
 Université de Lausanne,1537,46.5210895,6.5801606,CH
 Debreceni Református Hittudományi Egyetem,1538,47.5334538,21.6241105,HU
 Universidad Autónoma de Santo Domingo,1538,18.4600461,-69.9195015,DO
 Universidad Michoacana de San Nicolás de Hidalgo,1540,19.7047571,-101.1951331,MX
 Universidad de Zaragoza,1542,41.6420639,-0.9015065,ES
 Università degli Studi di Messina,1548,38.1891564,15.5530341,IT
 Université de Reims Champagne-Ardenne,1548,49.2559131,4.0408547,FR
 Pontificia Università Gregoriana,1551,41.8989235,12.4848147,IT
 Universidad Nacional Autónoma de México,1551,19.332465,-99.1847825,MX
 Universidad Nacional Mayor de San Marcos,1551,-12.0560257,-77.0844226,PE
 Friedrich-Schiller-Universität Jena,1558,50.9294637,11.5896585,DE
 Université de Genève,1559,46.199444,6.1451157,CH
 Università degli Studi di Sassari,1562,40.7248938,8.55979,IT
 Esztergomi Hittudományi Fõiskola,1566,47.8005391,18.7372998,HU
 Univerzita Palackého v Olomouci,1573,49.5954268,17.2600152,CZ
 Universiteit Leiden,1575,52.1571485,4.485209,NL
 National University of Ostroh Academy,1576,50.3292939,26.5125819,UA
