"locationID","location_name","locLat","locLon","country"
l1,Zurich University,47.374,8.551,CH
l10,Yoxford,52.266,1.511,GB
l100,Wooler,55.547,-2.012,GB
l1000,"Thiruvananthapuram, India",8.524,76.937,IN
l1001,Thirsk,54.234,-1.341,GB
l1002,"Thetford, Norfolk",52.413,0.752,GB
l1003,Thetford,52.413,0.752,GB
l1004,"Thessaloniki, Greece",40.64,22.944,GR
l1005,Therapis,55.859,-4.255,GB
l1006,"Theological Seminary, Chicago",41.786,-87.591,US
l1007,Theological Hall of Associate Synod,44.226,-76.494,CA
l1008,"Theological College, Stellenbosch",-33.94,18.847,ZA
l1009,"Theological college, Montauban, France",44.022,1.353,FR
l101,Woodwick,55.656,-4.684,GB
l1010,"Theological College, Bala, North Wales",52.91,-3.602,GB
l1011,Theological College,53.416,-2.242,GB
l1012,"Theale, Reading",51.437,-1.071,GB
l1013,"The White Hart Inn, Greenock",55.948,-3.197,GB
l1014,The Star,54.867,-4.08,GB
l1015,"the Society of Chartered Accountants, Edinburgh",55.945,-3.225,GB
l1016,The Royal and Ancient Golf Club of St Andrews,56.344,-2.802,GB
l1017,"the Provincial Court of Appeal, Northern division",51.514,-0.113,GB
l1018,"The Priory, St Andrews",56.304,-2.815,GB
l1019,"the powder magazines, Marchwood, Southampton",50.892,-1.448,GB
l102,Woodville,51.491,-3.181,GB
l1020,"the physic garden, Jacobswells, Clifton, Bristol",51.455,-2.59,GB
l1021,"The Parsonage, Lydgate, New Mill, Huddersfield",53.579,-1.761,GB
l1022,The Netherlands,52.133,5.291,NL
l1023,the Medical Society of London,51.518,-0.145,GB
l1024,"The Manse, Raloo, Larne Co. Antrim",54.801,-5.858,GB
l1025,"The Lodge, Hillingdon",51.552,-0.451,GB
l1026,the Literary and philosophical society of Manchester,53.482,-2.248,GB
l1027,the Leader,53.045,-2.992,GB
l1028,the Hebrides,57.76,-7.019,GB
l1029,"The Hall School, Sunderland",54.895,-1.438,GB
l103,"Woodstock, Oxfordshire",51.847,-1.354,GB
l1030,the Hague,52.07,4.301,NL
l1031,The Hague,52.07,4.301,NL
l1032,"The Grove, Hackney",51.544,-0.056,GB
l1033,"The Green, Ossett",53.673,-1.577,GB
l1034,"the Good Shepherd, Murrayfield, Edinburgh",55.947,-3.237,GB
l1035,The Friends Retreat,55.651,-3.19,GB
l1036,The Dutch Republic,53.227,6.552,NL
l1037,the Convict Hulks in Portsmouth Harbour,51.502,-0.092,GB
l1038,"the College, Crieff",56.404,-3.462,GB
l1039,the Bank of England,51.514,-0.088,GB
l104,"Woodstock, Oxford",51.847,-1.354,GB
l1040,the Bahamas,25.034,-77.396,BS
l1041,the Age,51.275,1.34,GB
l1042,"Thane, India",19.218,72.978,IN
l1043,Thames Ditton,51.39,-0.339,GB
l1044,Thames,51.574,-0.61,GB
l1045,"Thame, Oxfordshire",51.747,-0.974,GB
l1046,Thame,51.747,-0.974,GB
l1047,Texas University,30.285,-97.734,US
l1048,Tewkesbury,51.992,-2.158,GB
l1049,Teviothead,55.338,-2.939,GB
l105,"Woodside, Aberdeen",57.17,-2.123,GB
l1050,Terrington St John,52.706,0.281,GB
l1051,"Tenterden, Kent",51.069,0.689,GB
l1052,Tenby,51.673,-4.704,GB
l1053,"Tenbury, Worcs.",52.308,-2.596,GB
l1054,"Tenbury, Worcestershire",52.308,-2.596,GB
l1055,Temuka Road Board,-44.245,171.278,NZ
l1056,"Temple, Midlothian",55.816,-3.094,GB
l1057,"Temple Row, Birmingham",52.481,-1.898,GB
l1058,Temple Patrick presbytery,54.7,-6.044,GB
l1059,Temple Patrick,54.704,-6.092,GB
l106,Woodside,50.393,-4.054,GB
l1060,Temple,55.817,-3.094,GB
l1061,Teme,52.297,-2.735,GB
l1062,"Tembuland, South Africa",-30.559,22.938,ZA
l1063,"Teignmouth, Devon",50.547,-3.497,GB
l1064,Teignmouth,50.547,-3.497,GB
l1065,Tehran,35.689,51.389,IR
l1066,Teheran,35.689,51.389,IR
l1067,Teddington,51.427,-0.331,GB
l1068,"Technical Institute, Shanghai",31.215,121.403,CN
l1069,"Technical College, Kingstown, Dublin",53.281,-6.152,IE
l107,Woodrow,51.658,-0.652,GB
l1070,Tealing,56.534,-2.957,GB
l1071,Tealby,53.401,-0.264,GB
l1072,Tayport,56.448,-2.881,GB
l1073,"Taylor’s Row, St Johns St., London",51.517,-0.112,GB
l1074,"Tay St. Ladies Institution, Dundee",56.473,-2.962,GB
l1075,Tay St. Academy,55.874,-4.057,GB
l1076,"Tay Square Seminaries, Dundee",56.458,-2.976,GB
l1077,Tay Ferries,56.453,-2.949,GB
l1078,"Tavistock, Devon",50.551,-4.142,GB
l1079,Tavistock,50.551,-4.142,GB
l108,"Woodley, Chester",53.424,-2.105,GB
l1080,"Taunton, Somerset",51.015,-3.107,GB
l1081,Taunton,51.015,-3.107,GB
l1082,Taung,-27.552,24.766,ZA
l1083,"Tatterset, Norfolk",52.834,0.75,GB
l1084,Tatham Fells,54.08,-2.533,GB
l1085,Tasmania,-41.455,145.971,AU
l1086,"Tascosa, Texas, USA",35.511,-102.251,US
l1087,"Tarvit, Fife",56.317,-3.001,GB
l1088,"Tarvit Park, Cupar",56.317,-3.001,GB
l1089,Tarvit Mill,56.298,-3.031,GB
l109,"Woodlands, Hants.",50.903,-1.544,GB
l1090,Tarvit House,56.295,-3.005,GB
l1091,Tarves,57.371,-2.221,GB
l1092,Tarland,57.128,-2.855,GB
l1093,"Tarbolton, Ayrshire",55.512,-4.488,GB
l1094,Tarbolton,55.512,-4.488,GB
l1095,Tarbet,56.204,-4.713,GB
l1096,"Tarbes, France",43.233,0.078,FR
l1097,"Tarbert, Harris",57.898,-6.807,GB
l1098,Tarbert,55.863,-5.416,GB
l1099,Taradale,-39.537,176.849,NZ
l11,"Youghal, Ireland",51.954,-7.847,IE
l110,"Woodlands, Hampshire",50.903,-1.544,GB
l1100,"Tapton Hill Church, Sheffield",53.377,-1.515,GB
l1101,"Tanunda, Australia",-34.52,138.963,AU
l1102,Tannadice,56.475,-2.969,GB
l1103,Tangier,35.759,-5.834,MA
l1104,"Tanfield, Durham",54.894,-1.711,GB
l1105,Taney,36.658,-93.018,US
l1106,"Tandragee, County Armagh",54.356,-6.415,GB
l1107,"Tandragee, Co. Armagh",54.356,-6.415,GB
l1108,Tanderagee,54.356,-6.415,GB
l1109,"Tananarive, Madagascar",-18.879,47.508,MG
l111,"Woodford, Essex",51.604,0.033,GB
l1110,"Tamworth, New South Wales",-31.093,150.932,AU
l1111,"Tamworth, N.S.W.",-31.093,150.932,AU
l1112,Tamworth,52.634,-1.691,GB
l1113,Talybont,52.485,-3.986,GB
l1114,"Talbot Road, London",51.517,-0.199,GB
l1115,"Talbot Rd., London",51.517,-0.199,GB
l1116,Takaka Mission,-40.854,172.806,NZ
l1117,Taipeng,22.23,114.116,HK
l1118,"Tain, UK",57.812,-4.055,GB
l1119,Tain U.F. presbytery,57.812,-4.055,GB
l112,Woodford,51.604,0.033,GB
l1120,Tain presbytery,57.759,-3.903,GB
l1121,Tain,57.812,-4.055,GB
l1122,"Tahiti, French Polynesia",-17.651,-149.426,PF
l1123,Tadcaster,53.884,-1.261,GB
l1124,Tabusintac,47.327,-65.011,CA
l1125,"Tabriz, Iran",38.096,46.274,IR
l1126,"Tabernacle, Moorfields",51.521,-0.135,GB
l1127,T.C.D.,53.344,-6.255,IE
l1128,Syrian Society for the education of Arab youth,34.802,38.997,SY
l1129,Syria,34.802,38.997,SY
l113,"Woodbury, Exeter",50.677,-3.399,GB
l1130,Sypsies,56.263,-2.642,GB
l1131,Synod of the Presbyterian Church of England,55.861,-4.252,GB
l1132,Synod of New South Wales,51.492,-3.152,GB
l1133,Synod A Wiseman’s ferry,-33.382,150.985,AU
l1134,Symington (Biggar),55.599,-3.595,GB
l1135,Symington,55.551,-4.568,GB
l1136,"Sylhet, Bangladesh",24.895,91.869,BD
l1137,"Sydney, New South Wales, Australia",-33.869,151.209,AU
l1138,"Sydney, New South Wales",-33.869,151.209,AU
l1139,"Sydney, N.S.W.",-33.869,151.209,AU
l114,Woodburn Laundry,56.335,-2.785,GB
l1140,"Sydney, Australia",-33.869,151.209,AU
l1141,"Sydney,  N.S.W.",-33.869,151.209,AU
l1142,Sydney University,53.403,-2.964,GB
l1143,Sydney Hospital,-33.868,151.213,AU
l1144,Sydney College,-33.87,151.206,AU
l1145,Sydney,-33.869,151.209,AU
l1146,"Sydenham, London",51.425,-0.059,GB
l1147,"Sydenham, Kent",51.425,-0.059,GB
l1148,"Sydenham College, Birmingham",52.486,-1.89,GB
l1149,Sydenham College,18.935,72.826,IN
l115,"Woodbridge, New Jersey",40.558,-74.285,US
l1150,Sydenham,51.425,-0.059,GB
l1151,Switzerland,46.818,8.228,CH
l1152,Swinton,56,-3.788,GB
l1153,"Swinnie, Jedburgh",55.442,-2.59,GB
l1154,"Swinefleet, Yorkshire",53.691,-0.833,GB
l1155,Sweetwater,59.421,17.859,SE
l1156,Sweden,60.128,18.644,SE
l1157,"Swatow, China",23.354,116.682,CN
l1158,"Swanwick, Dorset",50.886,-1.268,GB
l1159,"Swansea, UK",51.621,-3.944,GB
l116,Woodbridge,52.095,1.313,GB
l1160,Swansea Infirmary,51.621,-3.944,GB
l1161,Swansea,51.621,-3.944,GB
l1162,"Swanley Agricultural College, Kent",51.397,0.171,GB
l1163,Swanley,51.397,0.177,GB
l1164,Swanland,53.738,-0.493,GB
l1165,Swanage,50.608,-1.961,GB
l1166,"Swallowgate, St Andrews",56.342,-2.795,GB
l1167,"Swallow Street, London",51.509,-0.137,GB
l1168,"Swafield, Lincolnshire",53.362,0.094,GB
l1169,"Swaffam, Norfolk",52.647,0.687,GB
l117,"Wood Dalling, Norfolk",52.799,1.099,GB
l1170,Swaffam,52.647,0.687,GB
l1171,Swadlincote,52.771,-1.555,GB
l1172,"Sutton, Surrey",51.361,-0.194,GB
l1173,"Sutton-Valence, Staplehurst, Kent",51.213,0.595,GB
l1174,Sutton St Mary,52.784,0.122,GB
l1175,"Sutton in Holderness, Yorkshire",53.78,-0.301,GB
l1176,"Sutton in Ashfield, Notts.",53.127,-1.263,GB
l1177,"Sutton in Ashfield, Nottinghamshire",53.127,-1.263,GB
l1178,Sutton Forrest,-34.567,150.317,AU
l1179,Sutton Coldfield,52.57,-1.824,GB
l118,Wooburn,51.581,-0.693,GB
l1180,"Suttan, Howth, County Dublin",53.379,-6.057,IE
l1181,"Suttan, Howth, Co. Dublin",53.379,-6.057,IE
l1182,"Sutherland, UK",58.561,-3.766,GB
l1183,"Sutherland Avenue, London",51.525,-0.188,GB
l1184,Sutherland,41.157,-101.127,US
l1185,Sussex hospital,50.819,-0.118,GB
l1186,Sussex County Asylum,50.889,0.269,GB
